Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A929612,"W N GUADALUPE ST
AUSTIN 78751",Yes (come to the shelter),05/02/2025,Cat,Domestic Shorthair,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929612
A928426,"1720 GRAND AVENUE PKWY
PFLUGERVILLE 78660
(30.45681, -97.66376)",No (contact for more info),04/29/2025,Cat,Domestic Longhair,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A928426
A928567,"1720 GRAND AVENUE PKWY
PFLUGERVILLE 78660
(30.45681, -97.66376)",No (contact for more info),04/29/2025,Cat,Siamese Mix,Flame Point,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A928567
A929487,"1601 E SLAUGHTER LN
AUSTIN 78747
(30.15288, -97.76916)",Yes (come to the shelter),04/30/2025,Dog,Chihuahua Shorthair,Tricolor,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929487
A929500,"6405 DEL MONTE RD
AUSTIN 78741
(30.24048, -97.69018)",No (contact for more info),05/01/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929500
A929502,"6405 DEL MONTE RD
AUSTIN 78741
(30.24048, -97.69018)",No (contact for more info),05/01/2025,Cat,Domestic Shorthair,Blue Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929502
A929527,"2507 BLUE MEADOW DRIVE
AUSTIN 78744
(30.18004, -97.75995)",Yes (come to the shelter),05/01/2025,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929527
A928330,"183 AND E WILLIAM CANNON DR
AUSTIN 78744
(30.14961, -97.69689)",Yes (come to the shelter),05/02/2025,Dog,Labrador Retriever,Tan/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A928330
A929605,"7503 BETHUNE AVE78752
(30.33372, -97.69601)",No (contact for more info),05/02/2025,Cat,Domestic Shorthair,Cream Tabby,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A929605
A929705,"3010 CASTRO STREET
AUSTIN 78702
(30.26168, -97.7054)",Yes (come to the shelter),05/04/2025,Cat,Domestic Shorthair,Torbie/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A929705
A929645,"401 MASTERSON PASS
AUSTIN 78753
(30.37022, -97.69025)",Yes (come to the shelter),05/03/2025,Dog,German Shepherd Mix,Tan/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A929645
A929699,"12704 SCISSORTAIL78652
(30.13092, -97.83101)",Yes (come to the shelter),05/04/2025,Dog,Pit Bull Mix,Brown Brindle,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A929699
